epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65654,1.00948,2.33337,3.60254,1.06722,0,0.00611,0.6958,0.20343,0.14849,0.00598,0.68097,0.19343,0.14085,0.76489,1.46467,3.54364,0.89594,0,0.000362283,0.000362283,0.000362283
2,7.0975,0.93856,1.73445,2.59622,1.00623,0,0.30083,0.20421,0.29397,0.2373,0.30083,0.20421,0.29047,0.24026,0.65363,1.11769,2.90613,0.89015,0,0.000725363,0.000725363,0.000725363
3,9.5609,0.88314,1.64632,2.31123,0.9875,0,0.45838,0.39645,0.36187,0.24797,0.45838,0.39645,0.35794,0.25029,0.7759,1.48347,2.62115,0.98208,0,0.00108111,0.00108111,0.00108111
4,11.9919,0.86709,1.53743,2.19154,1.0008,0,0.48319,0.50249,0.49421,0.36684,0.47035,0.49539,0.4683,0.3539,0.72971,1.28922,2.20322,0.9804,0,0.001078,0.001078,0.001078
5,14.4529,0.86051,1.5786,1.98823,0.99473,0,0.46851,0.65719,0.63073,0.49394,0.4612,0.64205,0.61411,0.48804,0.75411,1.12084,1.99098,0.9854,0,0.001067,0.001067,0.001067
6,16.905,0.86725,1.48161,1.86702,1.00411,0,0.74144,0.58106,0.71724,0.56325,0.72987,0.57405,0.70082,0.55263,0.7055,1.07909,1.70924,0.99166,0,0.00105601,0.00105601,0.00105601
7,19.3739,0.84215,1.31958,1.71332,1.00577,0,0.74459,0.6209,0.77051,0.62038,0.74459,0.6209,0.77021,0.62644,0.68683,0.99521,1.57434,0.96664,0,0.00104501,0.00104501,0.00104501
8,21.868,0.78754,1.19908,1.66531,0.96744,0,0.80503,0.72835,0.83332,0.66528,0.81396,0.73635,0.8424,0.6845,0.69294,0.9268,1.38085,0.959,0,0.00103401,0.00103401,0.00103401
9,24.3814,0.85965,1.30465,1.53591,0.98239,0,0.65247,0.76752,0.82142,0.65756,0.64698,0.76028,0.81646,0.67313,0.68568,0.91779,1.68927,0.95084,0,0.00102301,0.00102301,0.00102301
10,26.8604,0.80237,1.24264,1.41954,0.98715,0,0.73743,0.87512,0.8864,0.73722,0.74179,0.88312,0.8906,0.73849,0.64809,0.87396,1.23313,0.95576,0,0.00101201,0.00101201,0.00101201
11,29.339,0.76258,1.14048,1.26608,0.9525,0,0.88887,0.78067,0.89544,0.73542,0.88915,0.78039,0.90139,0.7511,0.68075,0.80249,1.19745,0.95711,0,0.00100101,0.00100101,0.00100101
12,31.8248,0.72597,0.99864,1.29567,0.94322,0,0.88007,0.81749,0.9121,0.77355,0.88007,0.81749,0.91696,0.7762,0.61419,0.83614,1.17865,0.9299,0,0.000990012,0.000990012,0.000990012
13,34.3305,0.72973,1.07413,1.2473,0.95482,0,0.88761,0.8376,0.91689,0.77685,0.88761,0.8376,0.92025,0.76595,0.59017,0.90289,1.07659,0.8955,0,0.000979013,0.000979013,0.000979013
14,36.8153,0.70349,1.02648,1.12789,0.92577,0,0.88946,0.87918,0.91163,0.76382,0.88149,0.89694,0.90995,0.75343,0.61241,0.90072,1.07419,0.93826,0,0.000968014,0.000968014,0.000968014
15,39.2913,0.77398,1.05204,1.12704,0.96189,0,0.90286,0.82795,0.90186,0.75476,0.90286,0.82795,0.90767,0.73858,0.61323,0.9149,1.08289,0.94197,0,0.000957015,0.000957015,0.000957015
16,41.7821,0.73686,0.99611,1.10586,0.95913,0,0.89742,0.9041,0.92752,0.78843,0.89742,0.9041,0.92776,0.77433,0.58931,0.83628,1.01048,0.91449,0,0.000946016,0.000946016,0.000946016
17,44.307,0.69275,0.92678,1.05782,0.91778,0,0.84369,0.92612,0.94234,0.79737,0.84369,0.92612,0.95108,0.78513,0.57282,0.84352,1.04382,0.91506,0,0.000935018,0.000935018,0.000935018
18,46.8128,0.69953,0.90453,1.06597,0.94227,0,0.92332,0.87342,0.93327,0.80672,0.92332,0.87342,0.94088,0.79741,0.57084,0.93467,0.95874,0.90638,0,0.000924019,0.000924019,0.000924019
19,49.3594,0.66196,0.93221,1.01479,0.91303,0,0.95297,0.87986,0.94257,0.78923,0.95297,0.87986,0.94511,0.78527,0.59995,0.87845,0.91124,0.94172,0,0.00091302,0.00091302,0.00091302
20,51.9687,0.64739,0.87465,1.0005,0.92611,0,0.95961,0.91023,0.95109,0.82577,0.93089,0.94492,0.95935,0.81025,0.55182,0.87423,0.89456,0.90107,0,0.000902021,0.000902021,0.000902021
21,54.5307,0.66521,0.93219,0.95821,0.93503,0,0.94667,0.92637,0.95494,0.81325,0.94667,0.92637,0.95811,0.80661,0.54767,0.85422,0.82131,0.89925,0,0.000891022,0.000891022,0.000891022
22,57.0492,0.61838,0.84125,0.89167,0.9016,0,0.92897,0.93332,0.94881,0.81161,0.93851,0.94099,0.95685,0.7987,0.56749,0.87296,0.85105,0.91511,0,0.000880023,0.000880023,0.000880023
23,59.6019,0.64157,0.88081,0.90623,0.91909,0,0.94534,0.88673,0.95025,0.81823,0.89564,0.9389,0.95682,0.80562,0.55358,0.91063,0.83443,0.91028,0,0.000869024,0.000869024,0.000869024
24,62.1987,0.61594,0.87842,0.86388,0.89247,0,0.94881,0.9185,0.94569,0.8099,0.95612,0.92565,0.9584,0.81143,0.54481,0.77948,0.79773,0.91336,0,0.000858025,0.000858025,0.000858025
25,64.7324,0.60666,0.86909,0.84552,0.90194,0,0.91508,0.94575,0.94671,0.81079,0.91375,0.94489,0.95373,0.80815,0.5543,0.80989,0.76713,0.91192,0,0.000847026,0.000847026,0.000847026
26,67.3037,0.6332,0.81293,0.85782,0.9167,0,0.96993,0.9225,0.95016,0.83858,0.96877,0.92144,0.95603,0.8117,0.51405,0.79441,0.76842,0.89649,0,0.000836027,0.000836027,0.000836027
27,69.8935,0.5894,0.80491,0.82313,0.89435,0,0.94394,0.92021,0.95053,0.82597,0.96191,0.93395,0.95756,0.80061,0.54287,0.80396,0.77965,0.90517,0,0.000825029,0.000825029,0.000825029
28,72.4111,0.57274,0.73216,0.79196,0.89658,0,0.95763,0.88906,0.95387,0.8308,0.96536,0.89594,0.96406,0.8119,0.53875,0.79554,0.75658,0.90115,0,0.00081403,0.00081403,0.00081403
29,74.9829,0.58989,0.78608,0.76867,0.91101,0,0.98515,0.9021,0.95272,0.83019,0.97669,0.89416,0.95483,0.813,0.53455,0.90149,0.68994,0.903,0,0.000803031,0.000803031,0.000803031
30,77.5984,0.63137,0.80878,0.80325,0.89715,0,0.95928,0.94145,0.95317,0.82343,0.94144,0.95305,0.95301,0.78607,0.53307,0.81662,0.70018,0.90649,0,0.000792032,0.000792032,0.000792032
31,80.2298,0.60601,0.76545,0.78419,0.89549,0,0.93731,0.95776,0.96398,0.84072,0.93619,0.9569,0.96322,0.8172,0.52387,0.75641,0.67306,0.90342,0,0.000781033,0.000781033,0.000781033
32,82.8985,0.57097,0.6954,0.72088,0.88981,0,0.95253,0.9512,0.96334,0.84043,0.95173,0.95065,0.9667,0.83098,0.49759,0.7273,0.63692,0.88725,0,0.000770034,0.000770034,0.000770034
33,85.4869,0.5621,0.72666,0.71475,0.88793,0,0.94151,0.95601,0.96402,0.83526,0.94849,0.96299,0.96954,0.81692,0.52418,0.74792,0.6692,0.9009,0,0.000759035,0.000759035,0.000759035
34,88.0279,0.5734,0.72258,0.78285,0.90472,0,0.95878,0.95445,0.96614,0.82747,0.95878,0.95445,0.96909,0.81542,0.5259,0.76256,0.70605,0.90039,0,0.000748036,0.000748036,0.000748036
35,90.5872,0.57517,0.8034,0.69617,0.88657,0,0.96266,0.95323,0.96622,0.82603,0.96985,0.96031,0.9711,0.82589,0.53455,0.80725,0.66373,0.91445,0,0.000737037,0.000737037,0.000737037
36,93.1411,0.55715,0.69829,0.69004,0.88408,0,0.94538,0.92595,0.95335,0.84062,0.95244,0.94598,0.96637,0.8141,0.48723,0.80931,0.64942,0.9015,0,0.000726038,0.000726038,0.000726038
37,95.7609,0.54958,0.77263,0.70298,0.8922,0,0.90762,0.94547,0.95065,0.81974,0.90106,0.96047,0.94844,0.80415,0.51028,0.7977,0.70674,0.90136,0,0.00071504,0.00071504,0.00071504
38,98.3347,0.5598,0.73791,0.67256,0.88605,0,0.94928,0.9398,0.95894,0.84311,0.94933,0.93969,0.96055,0.81342,0.49831,0.82511,0.6462,0.8962,0,0.000704041,0.000704041,0.000704041
39,100.92,0.53074,0.67724,0.67789,0.86299,0,0.9586,0.912,0.9606,0.83921,0.96587,0.91909,0.96775,0.82637,0.50966,0.83434,0.65787,0.88827,0,0.000693042,0.000693042,0.000693042
40,103.505,0.5545,0.77718,0.70564,0.89755,0,0.9451,0.9285,0.95946,0.83616,0.9451,0.9285,0.96596,0.81389,0.4876,0.77008,0.61588,0.8957,0,0.000682043,0.000682043,0.000682043
41,106.093,0.52009,0.63022,0.65068,0.8775,0,0.91673,0.96086,0.95625,0.8299,0.91673,0.96086,0.96013,0.81949,0.48765,0.75802,0.62943,0.88571,0,0.000671044,0.000671044,0.000671044
42,108.698,0.52501,0.73633,0.67008,0.86753,0,0.97239,0.91306,0.94786,0.83947,0.95719,0.93544,0.96523,0.81622,0.49053,0.74138,0.62966,0.89538,0,0.000660045,0.000660045,0.000660045
43,111.301,0.5133,0.63515,0.6103,0.87179,0,0.98584,0.93772,0.9546,0.84042,0.97297,0.95537,0.96886,0.82805,0.48173,0.69963,0.62246,0.88024,0,0.000649046,0.000649046,0.000649046
44,113.948,0.51367,0.68526,0.63554,0.88449,0,0.98525,0.95171,0.9623,0.84365,0.98525,0.95171,0.97006,0.82474,0.47168,0.74964,0.58552,0.87846,0,0.000638047,0.000638047,0.000638047
45,116.619,0.51293,0.64546,0.60019,0.87518,0,0.9858,0.94834,0.96508,0.8488,0.9858,0.94834,0.97157,0.82,0.46526,0.76006,0.57588,0.8752,0,0.000627048,0.000627048,0.000627048
46,119.377,0.53109,0.67679,0.62298,0.86806,0,0.97081,0.93076,0.9669,0.84745,0.97081,0.93076,0.96877,0.83387,0.47101,0.74968,0.57278,0.88183,0,0.000616049,0.000616049,0.000616049
47,122.017,0.51549,0.64142,0.59632,0.85908,0,0.95981,0.93905,0.9676,0.85369,0.95307,0.94916,0.9685,0.83082,0.46743,0.79156,0.57788,0.88158,0,0.000605051,0.000605051,0.000605051
